"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"GE","General Electric","03/17/1980","Common stocks","Large cap","Industrials","$99,859,013,559","0.29%","USA","Analyze"
"GILD","Gilead Sciences Inc","02/20/2001","Common stocks","Large cap","Health Care","$98,222,001,929","3.68%","USA","Analyze"
"BLK","Blackrock Inc","02/09/2001","Common stocks","Large cap","Financials","$97,921,063,194","2.99%","USA","Analyze"
"ADI","Analog Devices Inc","04/02/2012","Common stocks","Large cap","Information Technology","$95,833,755,936","1.65%","USA","Analyze"
"BKNG","Booking Holdings Inc","03/04/2013","Common stocks","Large cap","Consumer Discretionary","$95,580,183,437","0.00%","USA","Analyze"
"SCHW","Charles Schwab Corporation","01/02/2003","Common stocks","Large cap","Financials","$94,749,704,660","1.67%","USA","Analyze"
"CVS","CVS Health Corp","02/13/2001","Common stocks","Large cap","Health Care","$92,931,161,341","3.09%","USA","Analyze"
"MDLZ","Mondelez International Inc","06/11/2012","Common stocks","Large cap","Consumer Staples","$91,614,220,253","2.17%","USA","Analyze"
"NOW","Servicenow Inc","07/10/2007","Common stocks","Large cap","Information Technology","$89,415,410,000","0.00%","USA","Analyze"
"AMT","American Tower Corporation","01/02/2001","REITs","Large cap","Real Estate","$89,227,097,059","3.04%","USA","Analyze"
"ADP","Automatic Data Processing Inc","02/05/2001","Common stocks","Large cap","Information Technology","$88,513,776,402","2.13%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","03/01/2001","Common stocks","Large cap","Health Care","$86,238,124,754","0.00%","USA","Analyze"
"TJX","TJX Companies, Inc.","03/17/1980","Common stocks","Large cap","Consumer Discretionary","$86,235,274,640","1.57%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","06/13/2000","Common stocks","Large cap","Health Care","$85,627,330,501","0.00%","USA","Analyze"
"EL","Estee Lauder Inc Class A","02/15/2001","Common stocks","Large cap","Consumer Staples","$85,199,168,000","1.05%","USA","Analyze"
"C","Citigroup Inc","02/12/2001","Common stocks","Large cap","Financials","$84,454,305,344","4.62%","USA","Analyze"
"PYPL","Paypal Holdings Inc","07/06/2015","Common stocks","Large cap","Information Technology","$82,092,446,503","0.00%","USA","Analyze"
"PGR","Progressive Corp","03/02/2001","Common stocks","Large cap","Financials","$80,677,417,162","0.29%","USA","Analyze"
"MMC","Marsh & McLennan Inc","02/27/2001","Common stocks","Large cap","Financials","$78,463,760,701","1.45%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","03/08/2001","Common stocks","Large cap","Health Care","$78,348,616,645","0.00%","USA","Analyze"
"MO","Altria Group Inc","01/02/1970","Common stocks","Large cap","Consumer Staples","$77,600,603,921","8.30%","USA","Analyze"
"ABNB","Airbnb, Inc.","12/01/2020","Common stocks","Large cap","Consumer Discretionary","$77,277,975,115","0.00%","USA","Analyze"
"CB","Chubb Ltd","03/25/1993","Common stocks","Large cap","Financials","$76,916,309,839","1.77%","USA","Analyze"
"CI","Cigna Corp","02/13/2001","Common stocks","Large cap","Health Care","$76,219,647,872","1.78%","USA","Analyze"
"ZTS","Zoetis Inc","02/01/2013","Common stocks","Large cap","Health Care","$74,716,474,088","0.83%","USA","Analyze"
"SO","Southern Co","03/06/2001","Common stocks","Large cap","Utilities","$72,238,151,346","4.04%","USA","Analyze"
"TGT","Target Corp","03/07/2001","Common stocks","Large cap","Consumer Discretionary","$71,872,026,275","2.62%","USA","Analyze"
"LRCX","Lam Research Corp","02/23/2001","Common stocks","Large cap","Information Technology","$70,651,249,670","1.27%","USA","Analyze"
"ITW","Illinois Tool Inc","02/22/2001","Common stocks","Large cap","Industrials","$70,556,159,650","2.17%","USA","Analyze"
"DUK","Duke Energy Corp","03/17/1980","Common stocks","Large cap","Utilities","$70,500,850,092","4.30%","USA","Analyze"
"HCA","HCA Healthcare, Inc.","03/10/2011","Common stocks","Large cap","Health Care","$70,081,642,967","0.90%","USA","Analyze"
"FISV","Fiserv Inc","09/25/1986","Common stocks","Large cap","Information Technology","$69,784,838,263","0.00%","USA","Analyze"
"BSX","Boston Scientific Corp","02/09/2001","Common stocks","Large cap","Health Care","$68,905,505,471","0.00%","USA","Analyze"
"NOC","Northrop Grumman Corp","02/27/2001","Common stocks","Large cap","Industrials","$67,607,854,137","1.55%","USA","Analyze"
"BDX","Becton Dickinson","02/08/2001","Common stocks","Large cap","Health Care","$67,108,670,136","1.50%","USA","Analyze"
